Food group,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,growth
Live meat animals,6058.36,6521.78,7758.11,8302.90,9223.20,9866.28,9951.94,10985.52,12419.46,11558.62,8350.00,7997.59,7872.68,7909.76,6947.29,7232.56,7661.20,7335.19,7365.58,,7.6,19.0,7.0,11.1,7.0,0.9,10.4,13.1,-6.9,-27.8,-4.2,-1.6,0.5,-12.2,4.1,5.9,-4.3,0.4,,-3.0
Meats,1439.59,1578.09,1634.02,1699.96,1659.24,1839.27,1797.14,1627.38,1628.24,1411.46,1445.36,1371.50,1270.08,1336.56,1400.48,1720.17,1943.56,1825.79,1848.24,,9.6,3.5,4.0,-2.4,10.9,-2.3,-9.4,0.1,-13.3,2.4,-5.1,-7.4,5.2,4.8,22.8,13.0,-6.1,1.2,,1.6
Fish and shellfish,1677.77,1710.90,1755.18,1898.27,2078.65,2116.69,2196.09,2313.70,2284.59,2250.42,2246.78,2341.97,2345.65,2361.52,2378.38,2450.00,2496.89,2553.72,2623.12,,2.0,2.6,8.2,9.5,1.8,3.8,5.4,-1.3,-1.5,-0.2,4.2,0.2,0.7,0.7,3.0,1.9,2.3,2.7,,1.2
Dairy,242.46,226.88,272.06,270.27,265.43,283.10,289.32,276.62,268.82,224.66,224.03,187.08,187.03,209.84,194.46,224.01,276.18,300.34,280.98,,-6.4,19.9,-0.7,-1.8,6.7,2.2,-4.4,-2.8,-16.4,-0.3,-16.5,0.0,12.2,-7.3,15.2,23.3,8.7,-6.4,,0.9
Vegetables,4784.92,4746.90,5125.42,5566.69,5939.57,6227.88,6359.10,6613.99,7198.01,7343.99,7326.40,8113.51,8476.13,8690.72,9046.71,9633.01,9819.84,10676.19,11161.66,,-0.8,8.0,8.6,6.7,4.9,2.1,4.0,8.8,2.0,-0.2,10.7,4.5,2.5,4.1,6.5,1.9,8.7,4.5,,4.9
Fruits,8193.89,8094.50,7887.91,8446.77,8772.54,8822.46,9277.42,9609.78,10395.92,10259.74,9999.93,10635.03,10941.89,11570.57,12395.52,12654.79,13445.70,13794.65,14201.81,,-1.2,-2.6,7.1,3.9,0.6,5.2,3.6,8.2,-1.3,-2.5,6.4,2.9,5.7,7.1,2.1,6.2,2.6,3.0,,3.7
Nuts,271.90,312.44,315.94,332.58,309.87,334.77,326.52,325.80,352.49,339.40,356.04,357.70,357.59,441.24,425.76,472.70,507.33,514.08,545.05,,14.9,1.1,5.3,-6.8,8.0,-2.5,-0.2,8.2,-3.7,4.9,0.5,0.0,23.4,-3.5,11.0,7.3,1.3,6.0,,5.0
"Coffee, tea, and spices",1650.69,1725.17,1599.85,1635.50,1715.01,1757.14,1744.56,1825.54,1850.91,1881.95,1822.98,1894.64,2014.98,2018.79,2087.05,2112.38,2161.02,2236.67,2278.11,,4.5,-7.3,2.2,4.9,2.5,-0.7,4.6,1.4,1.7,-3.1,3.9,6.4,0.2,3.4,1.2,2.3,3.5,1.9,,2.1
Grains,6922.74,6562.72,7367.16,6950.06,6137.38,6549.18,6598.19,7747.11,8794.62,9703.37,8736.95,8556.37,8493.81,10593.87,12922.78,11246.09,10869.68,10860.35,11625.34,,-5.2,12.3,-5.7,-11.7,6.7,0.7,17.4,13.5,10.3,-10.0,-2.1,-0.7,24.7,22.0,-13.0,-3.3,-0.1,7.0,,4.4
Vegetable oils,2129.60,2488.29,2478.25,2380.18,2066.63,2759.44,2869.06,3576.72,3930.39,4838.99,4435.74,4583.56,5229.38,5012.85,6278.43,7507.70,6017.79,6196.65,7396.25,,16.8,-0.4,-4.0,-13.2,33.5,4.0,24.7,9.9,23.1,-8.3,3.3,14.1,-4.1,25.2,19.6,-19.8,3.0,19.4,,7.8
Sugar and candy,2563.59,2393.42,2242.85,2277.10,2501.29,2572.36,3261.33,4037.83,3150.52,3855.85,3571.62,4119.70,4896.64,4472.67,4232.55,4400.44,4602.70,4586.90,4210.48,,-6.6,-6.3,1.5,9.8,2.8,26.8,23.8,-22.0,22.4,-7.4,15.3,18.9,-8.7,-5.4,4.0,4.6,-0.3,-8.2,,1.2
Cocoa and chocolate,923.68,998.79,990.95,916.21,1046.28,1168.15,1306.33,1254.32,1129.16,1113.89,1169.39,1222.14,1312.90,1237.25,1303.43,1295.82,1336.65,1365.76,1453.82,,8.1,-0.8,-7.5,14.2,11.6,11.8,-4.0,-10.0,-1.4,5.0,4.5,7.4,-5.8,5.3,-0.6,3.2,2.2,6.4,,1.5
Other foods,883.46,930.00,1125.21,1207.26,1229.67,1389.81,1443.65,1549.50,1596.71,1646.55,1429.30,1597.00,1757.30,1740.64,1767.03,1875.26,1808.01,1825.04,2012.35,,5.3,21.0,7.3,1.9,13.0,3.9,7.3,3.0,3.1,-13.2,11.7,10.0,-0.9,1.5,6.1,-3.6,0.9,10.3,,2.6
Beverages,2965.91,3374.84,3691.75,3971.64,4196.38,4377.68,4779.07,5452.19,5595.61,5430.73,5077.70,5337.70,5552.84,5978.45,5932.63,6211.38,6702.73,7159.60,7530.64,,13.8,9.4,7.6,5.7,4.3,9.2,14.1,2.6,-2.9,-6.5,5.1,4.0,7.7,-0.8,4.7,7.9,6.8,5.2,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
